Title,Authors,Date of Publication,Research Area Tags,Link to paper
"Secrecy Performance of NOMA Systems with Energy Harvesting and Full-Duplex Relaying","Chen Feng, Cheng Guo, Liqiang Zhao, Zhiguo Ding, Hui-Ming Wang","July 12, 2020","","https://ieeexplore.ieee.org/abstract/document/9139266"
"Surviving in Platform Ecosystems Based on Distributed Trust Technologies: A Framework and Research Agenda"","Chris Rowell","July 7, 2020","","https://journals.aom.org/doi/abs/10.5465/AMBPP.2018.15695symposium"
"CVIN: Connected Vehicle Information Network","Chen Feng, Nikhil Prakesh, David G. Michelson","June 29, 2020","","https://ieeexplore.ieee.org/document/9128642"
"Blockchain and Machine Learning for Communications and Networking Systems","Yiming Liu, Richard Yu, Xi Li, Hong Ji","June 29, 2020","","https://ieeexplore-ieee-org.ezproxy.library.ubc.ca/stamp/stamp.jsp?tp&amp%3Barnumber=9007406"
"A Deep Reinforcement Learning-based Transcoder Selection Framework for Blockchain-Enabled Wireless D2D Transcoding","Richard Yu, Mengting Liu, Yinglei Teng, Mei Song","June 14, 2020","","https://ieeexplore.ieee.org/document/9001021"
"A Voting Blockchain based Message Dissemination in Vehicular Ad-Hoc Networks (VANETs)","Co-authored by: Victor Leung","June 7, 2020","","https://ieeexplore.ieee.org/document/9148823"
"Witness Webinar: Can Governments Respond to the COVID-19 Pandemic and Still Respect Personal Privacy?","Victoria Lemieux","June 1, 2020","","https://covidprivacy.pwias.ubc.ca"
"Hypergrowth Exit Mindset: Destroying Societal Wellbeing through Venture Capital Biased Social Construction of Value","Laura Lam","May 28, 2020","","https://journals.sagepub.com/doi/10.1177/1056492620929085"
"Delay Sensitive Large-scale Parked Vehicular Computing via Software Defined Blockchain","Co-authored by: Victor Leung","May 25, 2020","","https://ieeexplore.ieee.org/document/9120494"
"Caught in the Middle? Strategic Information Governance Disruptions in the Era of Blockchain and Distributed Trust","Victoria Lemieux, Chris Rowell","April 14, 2020","","https://www.emerald.com/insight/content/doi/10.1108/RMJ-09-2019-0048/full/html"
"Beh-Raft-Chain: A Behavior-Based Fast Blockchain Protocol for Complex Networks","Co-authored by: Victor Leung","April 2, 2020","","https://ieeexplore.ieee.org/document/9055192"
"Beh-Raft-Chain: A Behavior-based Fast Blockchain Protocol for Complex Networks","Li-e Wang, Yan Bai, Quan Jiang, Wei Cai, Xianxian Li","April 1, 2020","","https://ieeexplore.ieee.org/document/9055192"
"A Mobile Edge Computing (MEC)-enabled Transcoding Framework for Blockchain-based Video Streaming","Mengting Liu, Yinglei Teng, Richard Yu, Mei Song","March 26, 2020","","https://ieeexplore.ieee.org/document/9048623"
"Blockchain and Machine Learning for Communications and Networking Systems","Yiming Liu, Richard Yu, Xi Li, Hong Ji","February 23, 2020","","https://ieeexplore.ieee.org/document/9007406"
"Extending the Scope of Computational Archival Science: A Case Study on Leveraging Archival and Engineering Approaches to Develop a Framework to Detect and Prevent “Fake Video”","Victoria Lemieux, Hoda Hamouda, Chen Feng, Jessica Bushey, James Stewart, James Cameron, Ken Thibodeau, Corinne Rogers","February 23, 2020","","https://ieeexplore.ieee.org/document/9006170/authors#authors"
"Blockchain in Global Health – An appraisal of Current and Future Applications","Victoria Lemieux, Aranka Anema, Alexander Houghton, Chandana Unnithan","January 12, 2020","","https://www.researchgate.net/publication/334162288_Blockchain_in_Global_health_-_An_appraisal_of_current_and_future_applications"
"Biscotti: A Blockchain System for Private and Secure Federated Learning","Ivan Beschastnikh, Muhammad Shayan, Clement Fung, Chris J.M Yoon","December 12, 2019","","https://arxiv.org/abs/1811.09904"
"Adaptive Resource Allocation in Future Wireless Networks With Blockchain and Mobile Edge Computing","Richard Yu, Heli Zhang, Hong Ji, Mengting Liu, Fengxian Guo","December 8, 2019","","https://ieeexplore.ieee.org/document/8928522"
"Erlay: Efficient Transaction Relay for Bitcoin","Ivan Beschastnikh, Gregory Maxwell, Pieter Wuille, Gleb Naumenko","November 12, 2019","","https://dl.acm.org/doi/10.1145/3319535.3354237"
